KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00721	1	Prochlorococcus	2.4.1.83	K00721	K00721	2.4.1.83
K00748	1	Prochlorococcus	2.4.1.182	K00748	K00748	2.4.1.182
K00759	1	Prochlorococcus	2.4.2.7	K00759	K00759	2.4.2.7
K00761	1	Prochlorococcus	2.4.2.9	K00761,K02825	K00761	2.4.2.9
K00761	1	Prochlorococcus	2.4.2.9	K00761,K02825	K02825	2.4.2.9
K00762	1	Prochlorococcus	2.4.2.10	K00762,K13421	K00762	2.4.2.10
K00762	1	Prochlorococcus	2.4.2.10	K00762,K13421	K13421	2.4.2.10
K00764	1	Prochlorococcus	2.4.2.14	K00764	K00764	2.4.2.14
K00765	1	Prochlorococcus	2.4.2.17	K00765	K00765	2.4.2.17
K00766	1	Prochlorococcus	2.4.2.18	K00766,K13497	K00766	2.4.2.18
K00766	1	Prochlorococcus	2.4.2.18	K00766,K13497	K13497	2.4.2.18
K00767	1	Prochlorococcus	2.4.2.19	K00767	K00767	2.4.2.19
K00772	1	Prochlorococcus	2.4.2.28	K00772,K05810	K00772	2.4.2.28
K00772	1	Prochlorococcus	2.4.2.28	K00772,K05810	K05810	2.4.2.28
K00773	1	Prochlorococcus	2.4.2.29	K00773	K00773	2.4.2.29
K00783	1	Prochlorococcus	2.1.1.177	K00783	K00783	2.1.1.177
K00784	1	Prochlorococcus	3.1.26.11	K00784	K00784	3.1.26.11
K00788	1	Prochlorococcus	2.5.1.3	K00788,K14153,K14154,K21219,K21220	K00788	2.5.1.3
K00788	1	Prochlorococcus	2.5.1.3	K00788,K14153,K14154,K21219,K21220	K14153	2.5.1.3
K00788	1	Prochlorococcus	2.5.1.3	K00788,K14153,K14154,K21219,K21220	K14154	2.5.1.3
K00788	1	Prochlorococcus	2.5.1.3	K00788,K14153,K14154,K21219,K21220	K21219	2.5.1.3
K00788	1	Prochlorococcus	2.5.1.3	K00788,K14153,K14154,K21219,K21220	K21220	2.5.1.3
K00789	1	Prochlorococcus	2.5.1.6	K00789	K00789	2.5.1.6
K00790	1	Prochlorococcus	2.5.1.7	K00790	K00790	2.5.1.7
K00791	1	Prochlorococcus	2.5.1.75	K00791	K00791	2.5.1.75
K00793	1	Prochlorococcus	2.5.1.9	K00793	K00793	2.5.1.9
K00794	1	Prochlorococcus	2.5.1.78	K00794	K00794	2.5.1.78
K00797	1	Prochlorococcus	2.5.1.16	K00797,K24034	K00797	2.5.1.16
K00797	1	Prochlorococcus	2.5.1.16	K00797,K24034	K24034	2.5.1.16
K00798	1	Prochlorococcus	2.5.1.17	K00798,K19221	K00798	2.5.1.17
K00798	1	Prochlorococcus	2.5.1.17	K00798,K19221	K19221	2.5.1.17
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K00799	2.5.1.18
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K04097	2.5.1.18
