KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K07012	1	Synechocystis	5.6.2.4	K03551,K03654,K03655,K03656,K03657,K03658,K03723,K03724,K03726,K04066,K04499,K07012,K10300,K10730,K10737,K10738,K10843,K10899,K10900,K10901,K10902,K13184,K14635,K15271,K16898,K16899,K18663,K18959,K19178,K19483,K19781,K21519	K03551,K03654,K03655,K03656,K03657,K03658,K03723,K03724,K03726,K04066,K04499,K07012,K10300,K10730,K10737,K10738,K10843,K10899,K10900,K10901,K10902,K13184,K14635,K15271,K16898,K16899,K18663,K18959,K19178,K19483,K19781,K21519	5.6.2.4
K07013	1	Synechocystis			K07013	
K07015	1	Synechocystis			K07015	
K07019	1	Synechocystis			K07019	
K07024	1	Synechocystis	3.1.3.24	K07024	K07024	3.1.3.24
K07027	1	Synechocystis			K07027	
K07028	1	Synechocystis			K07028	
K07031	1	Synechocystis	2.7.1.168	K07031	K07031	2.7.1.168
K07033	1	Synechocystis			K07033	
K07037	1	Synechocystis			K07037	
K07038	1	Synechocystis			K07038	
K07040	1	Synechocystis			K07040	
K07042	1	Synechocystis			K07042	
K07043	1	Synechocystis			K07043	
K07052	1	Synechocystis			K07052	
K07056	1	Synechocystis	2.1.1.198	K07056	K07056	2.1.1.198
K07058	1	Synechocystis			K07058	
K07062	1	Synechocystis			K07062	
K07063	1	Synechocystis			K07063	
K07065	1	Synechocystis			K07065	
K07066	1	Synechocystis			K07066	
K07071	1	Synechocystis			K07071	
K07075	1	Synechocystis			K07075	
K07079	1	Synechocystis			K07079	
K07080	1	Synechocystis			K07080	
K07086	1	Synechocystis			K07086	
K07088	1	Synechocystis			K07088	
K07089	1	Synechocystis			K07089	
K07090	1	Synechocystis			K07090	
K07093	1	Synechocystis			K07093	
K07106	1	Synechocystis	4.2.1.126	K07106	K07106	4.2.1.126
K07107	1	Synechocystis			K07107	
K07114	1	Synechocystis			K07114	
K07116	1	Synechocystis	3.5.1.97	K07116	K07116	3.5.1.97
K07123	1	Synechocystis			K07123	
K07130	1	Synechocystis	3.5.1.9	K01432,K07130,K14263	K01432,K07130,K14263	3.5.1.9
K07137	1	Synechocystis			K07137	
K07146	1	Synechocystis			K07146	
K07171	1	Synechocystis			K07171	
K07172	1	Synechocystis			K07172	
K07182	1	Synechocystis			K07182	
K07213	1	Synechocystis			K07213	
K07222	1	Synechocystis			K07222	
K07240	1	Synechocystis			K07240	
K07242	1	Synechocystis			K07242	
K07243	1	Synechocystis			K07243	
K07259	1	Synechocystis	3.4.16.4	K01286,K02545,K03587,K05365,K05366,K05515,K07258,K07259,K12555,K18770,K18988,K21464,K21469	K01286,K02545,K03587,K05365,K05366,K05515,K07258,K07259,K12555,K18770,K18988,K21464,K21469	3.4.16.4
K07260	1	Synechocystis	3.4.17.14	K07260,K08640,K18866	K07260,K08640,K18866	3.4.17.14
K07263	1	Synechocystis			K07263	
K07267	1	Synechocystis			K07267	
K07277	1	Synechocystis			K07277	
K07300	1	Synechocystis			K07300	
K07301	1	Synechocystis			K07301	
K07304	1	Synechocystis	1.8.4.11	K07304,K12267	K07304,K12267	1.8.4.11
K07305	1	Synechocystis	1.8.4.12	K07305,K12267	K07305,K12267	1.8.4.12
K07313	1	Synechocystis	3.1.3.16	K01090,K01110,K04348,K04382,K04457,K04459,K04460,K04461,K05766,K06269,K06382,K06639,K07313,K07314,K10147,K11915,K13807,K14165,K14167,K14497,K14501,K14803,K14819,K15423,K15427,K15498,K15544,K15637,K15731,K15732,K16340,K17499,K17500,K17501,K17502,K17503,K17504,K17505,K17506,K17507,K17508,K17614,K17615,K17617,K17618,K18498,K18998,K18999,K19704,K19705,K19708,K19790,K20074,K20216,K20551,K20827,K21278,K21814,K21946,K23534,K28965	K01090,K01110,K04348,K04382,K04457,K04459,K04460,K04461,K05766,K06269,K06382,K06639,K07313,K07314,K10147,K11915,K13807,K14165,K14167,K14497,K14501,K14803,K14819,K15423,K15427,K15498,K15544,K15637,K15731,K15732,K16340,K17499,K17500,K17501,K17502,K17503,K17504,K17505,K17506,K17507,K17508,K17614,K17615,K17617,K17618,K18498,K18998,K18999,K19704,K19705,K19708,K19790,K20074,K20216,K20551,K20827,K21278,K21814,K21946,K23534,K28965	3.1.3.16
K07315	1	Synechocystis	3.1.3.3	K01079,K02203,K05518,K07315,K15781,K22305,K25528	K01079,K02203,K05518,K07315,K15781,K22305,K25528	3.1.3.3
K07346	1	Synechocystis			K07346	
K07347	1	Synechocystis			K07347	
K07389	1	Synechocystis			K07389	
K07390	1	Synechocystis			K07390	
K07391	1	Synechocystis			K07391	
K07393	1	Synechocystis	1.8.5.7	K07393	K07393	1.8.5.7
K07395	1	Synechocystis			K07395	
K07399	1	Synechocystis			K07399	
K07444	1	Synechocystis			K07444	
K07447	1	Synechocystis			K07447	
K07448	1	Synechocystis			K07448	
K07451	1	Synechocystis			K07451	
K07456	1	Synechocystis			K07456	
K07460	1	Synechocystis			K07460	
K07462	1	Synechocystis			K07462	
K07464	1	Synechocystis	3.1.12.1	K07464	K07464	3.1.12.1
K07480	1	Synechocystis			K07480	
K07492	1	Synechocystis			K07492	
K07494	1	Synechocystis			K07494	
K07495	1	Synechocystis			K07495	
K07496	1	Synechocystis			K07496	
K07497	1	Synechocystis			K07497	
K07507	1	Synechocystis			K07507	
K07566	1	Synechocystis	2.7.7.87	K07566	K07566	2.7.7.87
K07568	1	Synechocystis	2.4.99.17	K07568	K07568	2.4.99.17
K07636	1	Synechocystis	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	2.7.13.3
K07646	1	Synechocystis	2.7.13.3	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	K00936,K02476,K02478,K02480,K02482,K02484,K02486,K02489,K02491,K02668,K03407,K07636,K07637,K07638,K07639,K07640,K07641,K07642,K07643,K07644,K07645,K07646,K07647,K07648,K07649,K07650,K07651,K07652,K07653,K07654,K07655,K07656,K07673,K07674,K07675,K07676,K07677,K07678,K07679,K07680,K07681,K07682,K07683,K07697,K07698,K07700,K07701,K07704,K07706,K07708,K07709,K07710,K07711,K07716,K07717,K07718,K07768,K07769,K07777,K07778,K08082,K08475,K08479,K10125,K10681,K10715,K10819,K10909,K10916,K10942,K11231,K11328,K11354,K11356,K11357,K11383,K11520,K11527,K11614,K11617,K11623,K11629,K11633,K11637,K11640,K11691,K11711,K12294,K13040,K13532,K13533,K13587,K13598,K14489,K14980,K14982,K14986,K15011,K15850,K17060,K18072,K18143,K18345,K18350,K18351,K18940,K18986,K19077,K19081,K19609,K19616,K19621,K19661,K19690,K19691,K19692,K20263,K20339,K20487,K20973,K20974,K20975,K25212,K27076,K27105,K27882,K27884	2.7.13.3
K07657	1	Synechocystis			K07657	
